Video ID,Comment ID,comments
EqzUcMzfV1w,UgzuVFDqrrwvcCps_tZ4AaABAg,I  was  waiting  for  this  video  like  i  did  since  2019    A  great  contribution  to  the  community    The  idea  for  ebook  is  even  better    God  bless  you  and  your  family  
EqzUcMzfV1w,Ugw6xb_gZ9OctzinKgl4AaABAg,Damn  this  was  good    2021  I  did  html    php  and  mysql  so  2022  will  be  js  and  css  learning  year    They  should  use  this  for  schools  so  students  get  a  better  view  of  what  programs  to  use
EqzUcMzfV1w,UgzMV70GD9TYOw1wK1J4AaABAg,Incredibly  informative  video    So  complete  and  concede    thank  you  so  much  
EqzUcMzfV1w,UgwmM2ZbWX0Cl7qimGp4AaABAg,The  2019  web  dev  roadmap  Brad  made  back  in  the  day  was  literally  my  bible    I  feel  like  I  owe  him  a  million  dollars  
EqzUcMzfV1w,UgyP6WzveguGVnhTiLt4AaABAg,Thanks  Brad    Great  video    I  am  learning  to  code  for  cybersecurity  reasons  and  web  application  pentesting    For  example  OWASP  top  10    understanding  SQLi  you  have  to  understand  how  web  applications  work  and  how  they  can  exploited    To  work  in  web  application  security  you  have  to  understand  the  code  full  stack    that's  what  I  am  working  toward    Your  courses  are  helping  me  achieve  that  goal    Thanks  so  much  
EqzUcMzfV1w,UgyOObpdXPv2Z9zcM7p4AaABAg,Sir    your  video  is  helping  me  to  take  my  decision  about  what  programming  field  I'll  choose  for  my  future    thanks  a  lot    
EqzUcMzfV1w,UgzvPKBLYzxZi38783F4AaABAg,Awesome  video      I  started  watching  this  yearly  video  back  in  2019  and  it  s  really  great  to  stop  for  a  few  minutes  at  the  beginning  of  each  year  to  get  an  overview  of  how  things  stand  on  the  web  dev  scene    Thank  you  Brad  
EqzUcMzfV1w,UgwGAZQNPgM0p8fxG954AaABAg,This  is  so  well  done    helped  me  out  a  lot    thank  you  
EqzUcMzfV1w,UgwQn0tdYtfxG1IbyZN4AaABAg,one  of  the  must  watch  vids  when  entering  2022    thanks  for  creating  it  
EqzUcMzfV1w,UgynSBpEiVNmDX2hWXd4AaABAg,Brad  your  way  of  teaching  tech    has  become  a  template  for  us  
EqzUcMzfV1w,UgzZowluzdQpSX_2D6N4AaABAg,Thank  you  for  the  classes  on  Udemy    I  would  get  all  of  your  classes  if  I  could      Continue  learning  so  you  can  continue  to  teach  us      Thanks  
EqzUcMzfV1w,UgzsTE4R4EIjAqeeCS14AaABAg,Very  helpful  for  aspiring  web  developer    Thank  you  Brad  
EqzUcMzfV1w,UgwYg04xrrByo5g7p294AaABAg,Your  videos  are  amazing    I  learning  so  much  from  you  from  past  2  years      thank  you  so  much  for  making  these  videos  free      you  have  no  idea  how  much  this  helps  since  I  can't  afford  any  paid  ones      thank  you    have  a  nice  day  and  stay  blessed
EqzUcMzfV1w,UgxaZ_qH8eVZdsNUXmt4AaABAg,Decided  to  try  web  development  in  2022    Your  video  is  fantastic    gives  an  idea  of  where  to  start  
EqzUcMzfV1w,Ugzy-NAiPuUMa3lPIBt4AaABAg,You  cant  even  imagine  at  what  perfect  timing  you  uploaded        i  was  literally  thinking  about  when  will  you  upload  the  web  dev  guide  and  then  suddenly        boom    notification  appears    anyways    thanks  a  lot  
EqzUcMzfV1w,Ugzqm3VYF6rW6s8oOwp4AaABAg,Thank  you  so  much    I  find  the  length  of  the  video  perfect    regarding  it's  topic    You  mentioned  and  explained  in  detail  very  important  and  practical  things  
EqzUcMzfV1w,Ugzv5oc88kZj_MydDK54AaABAg,I  love  that  you  put  it  on  your  website    This  is  really  epic    Makes  it  so  easy  to  choose  what  you  want  to  learn  compared  to  just  browsing  YouTube  
EqzUcMzfV1w,UgzYqAqGAWU1fr-JQNd4AaABAg,Thank  you  so  much  for  making  these  every  year    so  helpful    
EqzUcMzfV1w,UgyW1j8jFbWXFJxsG0h4AaABAg,This  is  an  amazingly  comprehensive  guide  to  the  web  development  landscape  in  2022  
EqzUcMzfV1w,UgwCJmdjOjw9co4sFGd4AaABAg,I  was  actually  waiting  for  this    really  needed  it    Thank  you  Brad  
EqzUcMzfV1w,UgxTYi_8Cy_c-_snIgR4AaABAg,Thank  you  again  for  another  great  post    Great  content    No  BS    I  ve  watched  hours  of  other  videos    None  are  as  content  rich    A  huge  resource  
EqzUcMzfV1w,UgyJdAPYyV0zXBTfXld4AaABAg,Awesome  video  Brad    Thanks  for  such  a  wide  coverage  this  year  
EqzUcMzfV1w,UgyGltUZTCVhIPMftuh4AaABAg,Thank  you  and  your  team  for  everything    you  learned  to  us  
EqzUcMzfV1w,UgxYkeuDIYioKJME-cZ4AaABAg,Love  these  videos    Started  learning  web  development  in  early  2021  during  lockdown    mostly  from  this  channel    I've  made  several  websites  along  the  way    from  JS  and  CSS  only  to  full  stack  Svelte      Python  backend      API  database    I  can  tick  all  the  boxes  on  Front  end  Developer    but  I  still  to  work  on  the  database  and  authorisation  stuff    Web3  also  looks  very  promising    albeit  VERY  early    Excited  to  see  where  it  goes  and  where  I  go  in  the  future      Thanks  Brad  
EqzUcMzfV1w,UgyJ742mLFOnLWkiQyJ4AaABAg,Can  you  make  in  more  in  depth  tutorial  on  Server  Side  Rendering  and  how  it  can  replace  Singe  Page  Apps  
